time,open,high,low,close
1733342400.002,98400,98400,98250,98250
1733342400.003,98250,98250,98100,98100
1733342400.004,98100,98100,97950,97950
1733346000,98100,98250,98100,98250
1733349600,98250,98400,98250,98400
1733349600.001,98400,98550,98400,98550
1733349600.002,98550,98700,98550,98700
1733356800,98550,98550,98400,98400
1733360400,98550,98700,98550,98700
1733360400.001,98700,98850,98700,98850
1733360400.002,98850,99000,98850,99000
1733360400.003,99000,99150,99000,99150
1733360400.004,99150,99300,99150,99300
1733360400.005,99300,99450,99300,99450
1733360400.006,99450,99600,99450,99600
1733360400.007,99600,99750,99600,99750
1733360400.008,99750,99900,99750,99900
1733360400.009,99900,100050,99900,100050
1733360400.01,100050,100200,100050,100200
1733360400.011,100200,100350,100200,100350
1733360400.012,100350,100500,100350,100500
1733360400.013,100500,100650,100500,100650
1733360400.014,100650,100800,100650,100800
1733360400.015,100800,100950,100800,100950
